Date,Title,Topic,Is_Done
2025-07-25,Magic of VFX Level 07 (Videos 1-3),VFX,0
2025-07-25,Update 01 (Finish remaining lectures),Automotive,0
2025-07-26,Section 01 (Lectures 1-3),DMP,0
2025-07-26,DaVinci Intro (Lectures 1-2),Montage,0
2025-07-27,Level 08 (Videos 1-5),Product Animation,0
2025-07-27,Lecture 1,CG Compositing,0
2025-07-28,Magic of VFX Level 07 (Videos 4-5),VFX,0
2025-07-28,Teaser Blender to Resolve (Lecture 02),Color Grading,0
2025-07-29,Update 01 (Review & Finalize),Automotive,0
2025-07-29,Section 01 (Lectures 4-6) + Section 02 (Lecture 1),DMP,0
2025-07-30,Level 08 (Videos 6-10),Product Animation,0
2025-07-30,DaVinci Intro (Lecture 3),Montage,0
2025-07-31,Magic of VFX Level 07 (Videos 6-8),VFX,0
2025-07-31,Quick Recap Update 01,Automotive,0
2025-08-01,Section 03 (Lectures 1-4),DMP,0
2025-08-01,DaVinci Intro (Lecture 4),Montage,0
2025-08-02,Level 09 (Videos 1-3),Product Animation,0
2025-08-02,Lectures 2-3,CG Compositing,0
2025-08-03,Magic of VFX Level 08 (All videos),VFX,0
2025-08-03,Teaser Blender to Resolve (Lecture 03),Color Grading,0
2025-08-04,Update 03 (Lectures 1-4),Automotive,0
2025-08-04,Section 03 (Lectures 5-9),DMP,0
2025-08-05,Level 09 (Videos 4-7),Product Animation,0
2025-08-05,DaVinci Intro (Lecture 5),Montage,0
2025-08-06,Magic of VFX Level 09 (Videos 1-3),VFX,0
2025-08-06,Update 03 (Lectures 5-7),Automotive,0
